Generation 3523
46.71,[352.78, 350.03, 278.53, 399.94, 386.8, 492.74, 265.81, 420.32, 329.2, 34.08, 34.16, 44.83, 33.25, 28.08, 45.23, 34.43, 61.67, 45.24, 32.09, 18.53, 99.98, 98.75, 99.22, -2.3, 0.58, -0.55, -4.73, -0.32, 3.78, 1.22, 0.23, 5.23, 2.52, 0.63, -17.87, 1.15, -7.58, 1.38, 0.27, 17.0, 2.95, -2.07]
46.71,[351.99, 345.08, 253.46, 385.37, 385.12, 481.35, 248.61, 418.1, 319.11, 34.92, 33.22, 45.34, 33.14, 33.55, 47.22, 36.26, 61.82, 45.74, 31.72, 18.69, 91.52, 100.0, 94.37, -2.84, 0.25, -1.0, -4.45, 0.33, 4.56, 2.09, -0.33, 5.58, 2.47, -0.67, -16.89, -3.06, -8.04, 1.66, -2.15, 16.33, 2.39, -2.84]
46.91,[352.8, 344.61, 257.49, 390.66, 386.25, 486.83, 249.55, 422.36, 323.23, 33.85, 33.5, 44.34, 33.03, 31.87, 46.26, 36.7, 61.85, 46.01, 31.63, 17.91, 93.53, 99.51, 94.93, -2.98, 0.35, -1.0, -4.09, 0.16, 4.46, 1.51, -0.17, 5.78, 2.4, -0.45, -16.71, -1.6, -7.76, 1.69, -2.17, 18.25, 2.31, -1.31]
47.26,[353.91, 344.09, 242.55, 387.79, 386.95, 493.91, 246.7, 422.86, 315.7, 33.64, 32.97, 44.23, 32.59, 32.46, 47.61, 37.32, 61.77, 45.49, 31.83, 17.68, 87.25, 100.32, 94.22, -3.05, 0.31, -0.95, -4.57, 0.22, 4.54, 1.53, -0.19, 5.88, 2.44, -0.68, -17.55, -2.03, -7.86, 1.78, -2.33, 19.23, 2.1, -1.61]
47.27,[352.85, 344.72, 252.3, 388.84, 385.4, 490.29, 248.85, 422.92, 321.45, 33.85, 33.24, 44.15, 32.85, 32.28, 47.12, 37.23, 61.81, 45.75, 31.76, 17.84, 91.8, 99.57, 94.34, -3.03, 0.34, -0.96, -4.39, 0.17, 4.51, 1.58, -0.2, 5.8, 2.4, -0.51, -16.84, -1.66, -7.95, 1.74, -2.2, 18.86, 2.36, -1.22]
47.31,[351.89, 343.76, 222.12, 385.05, 387.84, 480.21, 246.28, 419.24, 324.92, 34.81, 33.06, 45.22, 32.86, 33.41, 47.74, 36.42, 61.5, 45.43, 31.52, 18.56, 89.92, 99.98, 93.53, -2.79, 0.3, -1.05, -4.33, 0.25, 4.51, 2.13, -0.16, 5.66, 2.43, -0.73, -16.59, -3.08, -7.88, 1.85, -2.49, 16.49, 2.34, -3.03]
47.42,[352.58, 345.36, 252.89, 387.49, 384.57, 493.05, 248.26, 423.81, 319.61, 33.84, 32.98, 43.99, 32.88, 32.85, 47.41, 37.7, 61.75, 45.38, 31.81, 17.7, 89.32, 99.14, 92.69, -3.07, 0.33, -0.92, -4.26, 0.23, 4.7, 1.66, -0.21, 5.87, 2.36, -0.59, -16.67, -1.88, -7.82, 1.75, -2.59, 19.31, 2.48, -1.11]
47.65,[352.99, 359.62, 257.49, 398.97, 392.65, 487.61, 255.23, 464.64, 331.19, 33.88, 33.18, 43.23, 32.41, 30.93, 46.0, 36.91, 61.0, 46.35, 30.85, 18.72, 100.0, 97.49, 99.85, -1.85, 0.25, 0.04, -4.79, -0.03, 4.45, 1.3, -0.19, 5.56, 2.77, 0.83, -17.92, 1.02, -7.52, 0.66, -0.13, 18.32, 4.13, -1.84]
47.73,[350.42, 350.68, 239.72, 407.84, 390.88, 503.21, 256.97, 418.29, 326.85, 33.49, 33.14, 43.23, 32.8, 30.33, 44.82, 35.8, 60.33, 45.7, 32.38, 18.5, 99.95, 98.56, 99.83, -1.74, 0.38, 0.22, -4.87, -0.5, 4.2, 1.35, 0.33, 5.24, 2.21, 0.83, -17.36, 1.1, -6.88, 1.26, -0.17, 18.32, 3.8, -1.74]
47.80,[354.14, 346.38, 369.85, 388.99, 386.99, 481.48, 250.86, 420.85, 319.55, 34.53, 34.1, 45.09, 33.27, 35.94, 44.79, 36.43, 62.93, 44.35, 32.13, 18.64, 97.16, 99.89, 96.5, -2.67, 0.4, -1.1, -4.77, 0.27, 4.26, 1.97, -0.14, 5.47, 2.95, -0.96, -19.4, -2.97, -7.47, 1.77, -0.63, 16.67, 1.91, -2.04]
