Record started (SWARM MUTATION): 2021-02-17 17:47:56.422970
Original fitness from cfg file (reference value): 175.46096400062538

Settings:
['MDEXEC', 'charmm']
['MDINP', 'Molecules/oac/oac.inp']
['MDOUT', 'Molecules/oac/tempfiles/opt.log']
['QMOUT', 'Molecules/oac/oac.log']
['PARAM_FILENAME', 'Molecules/oac/tempfiles/parameters.str']
['POPULATION_FILENAME', 'Molecules/oac/tempfiles/lastPopulation.txt']
['LOG_FILENAME', 'Molecules/oac/tempfiles/convergence.log']
['LOGGING', '1']
['RUNS', '10000']
['POPULATION_SIZE', '100']
['NEW_GENERATION_SIZE', '30']
['CREATE_INITIAL_POPULATION', '1']
['RECOMPUTE_FITNESS', '0']
['FIRST_FREQ_BIAS', '0']
['MUTATION_B_PROBABILITY', '0.1']
['STEP_SIZE_MULTIPLICATOR', '0.001']
['DIRECTION_DROP', '0.8']
['MINIMUM_IMPROVEMENT', '0.99999']
['PARAMETER', 'oacb1', 'bond', '0', '2000', '340']
['PARAMETER', 'oacb2', 'bond', '0', '2000', '655.5162']
['PARAMETER', 'oacb3', 'angle', '0', '2000', '316.83']
['PARAMETER', 'oaca1', 'angle', '0', '500', '33.0']
['PARAMETER', 'oaca2', 'angle', '0', '500', '79.9417']
['PARAMETER', 'oaca3', 'angle', '0', '500', '70.0']
['PARAMETER', 'oaca4', 'angle', '0', '500', '35.7']
['PARAMETER', 'oacd1', 'dihedral', '0', '30', '0.0']
['PARAMETER', 'oaci1', 'torstion', '0', '300', '71.000']

Time,Generation,Fitness
60.01677846908569,1,907.0885875965998
146.42309761047363,2,907.0885875965998
158.63820242881775,3,812.0886655231233
236.55616736412048,4,812.0886655231233
248.38306951522827,5,799.2397264079608
358.4484655857086,6,799.2397264079608
370.567081451416,7,752.4162795541376
564.5603885650635,8,752.4162795541376
578.4480874538422,9,734.7035085235598
592.4675002098083,10,732.8979592423324
743.9329907894135,11,646.4096886922352
838.2832124233246,12,646.4096886922352
1265.063863992691,13,646.4096886922352
1509.2982048988342,14,646.4096886922352
1522.0916624069214,15,634.1278921192321
1563.4860916137695,16,634.1278921192321
1577.3311212062836,17,564.4190956799564
1643.3689322471619,18,564.4190956799564
1657.087283372879,19,555.9026022103762
1793.176531791687,20,555.9026022103762
1909.942521572113,21,555.9026022103762
2074.8622946739197,22,555.9026022103762
2989.896116733551,23,555.9026022103762
3031.7553980350494,24,555.9026022103762
3045.80783700943,25,536.8290720736782
3186.9931378364563,26,536.8290720736782
3511.693333387375,27,536.8290720736782
3667.8095185756683,28,521.707081646134
3804.562116384506,29,521.707081646134
3818.6658306121826,30,500.71735601993436
4109.432571411133,31,500.71735601993436
4123.363389968872,32,462.3399402252286
4179.200285434723,33,462.3399402252286
4224.804636001587,34,462.3399402252286
4365.937757015228,35,462.3399402252286
4831.223200082779,36,462.3399402252286
4881.094816207886,37,462.3399402252286
4894.564272880554,38,441.3712887965487
4998.670252084732,39,441.3712887965487
5045.895655632019,40,441.3712887965487
5416.358328104019,41,441.3712887965487
5530.670228004456,42,441.3712887965487
8131.600580692291,43,426.5035505001028
8181.913797616959,44,426.5035505001028
8220.416277647018,45,426.5035505001028
8277.07032752037,46,426.5035505001028
8565.7242000103,47,426.5035505001028
8630.114567756653,48,422.31775461363696
8685.500771522522,49,422.31775461363696
8884.897036790848,50,402.302151738755
9178.644563674927,51,402.302151738755
11970.88778591156,52,402.302151738755
11985.311863899231,53,402.0102904158903
12301.861253976822,54,402.0102904158903
12376.234700679779,55,402.0102904158903
12390.62706375122,56,370.664655267649
12466.665867805481,57,355.3050370918213
12513.571480035782,58,355.3050370918213
12587.157527208328,59,355.3050370918213
12695.84297633171,60,355.3050370918213
13277.540625095367,61,345.71604182323364
13596.393552064896,62,345.71604182323364
13661.003565311432,63,345.71604182323364
13693.504122972488,64,345.71604182323364
13818.231962680817,65,345.71604182323364
13940.501730918884,66,345.71604182323364
13954.075584173203,67,337.6953993063667
13968.020693778992,68,332.8657919282913
13982.764401435852,69,322.72383442476047
14108.874890565872,70,322.72383442476047
14225.71070098877,71,322.72383442476047
14345.437994241714,72,322.72383442476047
14402.807716846466,73,322.72383442476047
14417.14051437378,74,308.1589875518399
14464.354357481003,75,308.1589875518399
14500.742546081543,76,308.1589875518399
14546.606696844101,77,308.1589875518399
15291.865441083908,78,308.1589875518399
15403.975291728973,79,300.18808591112503
15417.679598808289,80,288.6863678721904
15477.239599704742,81,288.6863678721904
16210.807361841202,82,288.6863678721904
16224.420560359955,83,244.9054031684923
16275.274627923965,84,244.9054031684923
16305.838717222214,85,244.9054031684923
16421.599472999573,86,244.9054031684923
16466.798459291458,87,244.9054031684923
16530.139630794525,88,244.9054031684923
16604.49461555481,89,244.9054031684923
16722.690569400787,90,244.9054031684923
16759.487643241882,91,244.9054031684923
16773.532557487488,92,228.39985616761035
16959.111620903015,93,228.39985616761035
17056.02490758896,94,228.39985616761035
17208.118703603745,95,228.39985616761035
17280.27607011795,96,228.39985616761035
17294.39804148674,97,218.07449181797264
17535.829264879227,98,218.07449181797264
17709.13531780243,99,218.07449181797264
17749.00291824341,100,217.34522906195204
17812.44900560379,101,217.34522906195204
17859.68292760849,102,217.34522906195204
17874.265625,103,212.42164571027652
18194.53829407692,104,212.42164571027652
18250.323261976242,105,212.42164571027652
18309.455703020096,106,212.42164571027652
18344.01612687111,107,212.13576302122104
18379.968154907227,108,212.13576302122104
18394.799429416656,109,207.4973719997851
18409.690581321716,110,201.46532548785345
