Generation 948
14.30,[329.832, 60.192, 830.888, 516.321, 116.351, 35.969, 46.951, 27.69, 149.617, 3.764, 83.353, 0.366, 4.465, 0.002, 0.0, 82.937]
14.30,[329.839, 59.312, 830.774, 516.185, 116.752, 35.937, 47.455, 27.695, 147.965, 3.378, 84.393, 0.373, 4.515, 0.001, 0.001, 82.48]
14.30,[329.84, 59.308, 830.774, 516.187, 116.752, 35.937, 47.457, 27.694, 147.959, 3.377, 84.395, 0.373, 4.515, 0.001, 0.001, 82.482]
14.30,[329.7, 59.86, 831.173, 516.079, 116.759, 35.961, 47.276, 27.781, 148.431, 3.435, 84.456, 0.379, 4.522, 0.0, 0.001, 82.484]
14.30,[329.855, 59.084, 830.851, 516.269, 116.741, 35.955, 47.512, 27.669, 147.618, 3.286, 84.613, 0.38, 4.503, 0.0, 0.001, 82.669]
14.30,[329.829, 59.357, 830.671, 516.157, 116.713, 35.933, 47.443, 27.701, 148.153, 3.401, 84.296, 0.372, 4.517, 0.001, 0.001, 82.473]
14.30,[329.743, 59.337, 831.018, 515.962, 116.781, 35.94, 47.609, 27.775, 148.454, 3.45, 84.477, 0.373, 4.524, 0.001, 0.001, 82.898]
14.30,[329.897, 58.841, 831.267, 516.361, 116.877, 35.972, 47.584, 27.643, 146.867, 3.163, 85.041, 0.387, 4.494, 0.0, 0.001, 82.754]
14.30,[329.834, 59.564, 830.469, 516.109, 116.664, 35.919, 47.429, 27.723, 148.466, 3.534, 84.132, 0.368, 4.515, 0.001, 0.001, 82.619]
14.31,[329.715, 59.846, 830.763, 516.005, 116.686, 35.938, 47.267, 27.775, 149.005, 3.569, 84.068, 0.371, 4.529, 0.001, 0.001, 82.396]
14.31,[329.715, 59.4, 831.059, 515.886, 116.791, 35.936, 47.633, 27.801, 148.662, 3.491, 84.443, 0.371, 4.529, 0.001, 0.001, 82.955]
14.31,[329.714, 59.861, 830.744, 516.009, 116.679, 35.938, 47.254, 27.774, 149.026, 3.573, 84.049, 0.371, 4.529, 0.001, 0.001, 82.377]
