Generation 117
74.81,[389.831, 425.169, 336.583, 363.972, 420.607, 405.748, 440.048, 431.829, 384.42, 380.929, 152.405, 44.114, 50.601, 103.086, 31.539, 126.454, 56.886, 102.047, 54.077, 121.01, 74.198, 34.602, 32.402, 84.889, 50.473, 46.537, 52.663, 42.514, 1.467, 1.903, 0.781, 1.397, 0.087, 30.948, 6.549, 30.92, 14.992, 20.759, 3.473, 3.484, 3.141, 2.289, 2.69]
74.98,[390.746, 429.918, 338.997, 359.746, 420.879, 408.859, 450.794, 422.496, 381.669, 382.135, 150.849, 43.227, 51.281, 103.469, 31.199, 116.756, 56.91, 104.701, 53.88, 107.857, 60.865, 38.204, 29.843, 84.679, 54.548, 47.993, 51.129, 42.357, 1.627, 2.475, 1.517, 1.276, 0.04, 32.253, 6.906, 30.414, 13.705, 23.141, 3.644, 3.741, 2.424, 1.894, 2.553]
75.45,[389.647, 431.554, 339.478, 380.491, 422.91, 410.483, 438.957, 431.117, 390.081, 386.7, 149.317, 43.316, 50.211, 104.607, 31.398, 121.128, 57.789, 102.699, 54.788, 108.158, 68.98, 39.792, 31.761, 79.369, 53.332, 47.749, 53.037, 41.966, 1.543, 2.407, 1.48, 1.246, 0.114, 32.282, 6.711, 30.45, 13.625, 24.498, 3.59, 3.518, 2.673, 2.73, 2.396]
75.45,[392.973, 425.716, 336.159, 376.941, 420.681, 409.158, 439.29, 428.681, 388.992, 382.679, 154.284, 43.789, 50.109, 115.173, 31.109, 112.963, 56.733, 98.639, 52.988, 120.058, 69.454, 40.014, 31.024, 84.386, 51.559, 47.253, 52.936, 42.042, 1.566, 2.266, 1.168, 1.337, 0.114, 31.4, 6.776, 30.1, 14.516, 19.507, 3.724, 3.657, 3.185, 2.265, 2.675]
75.46,[391.354, 432.715, 342.415, 356.515, 417.608, 405.591, 449.061, 430.243, 385.906, 382.1, 153.253, 43.166, 52.124, 103.818, 30.796, 118.694, 57.088, 104.833, 48.743, 106.62, 65.4, 39.117, 29.07, 84.421, 52.796, 46.708, 54.626, 42.488, 1.287, 1.829, 1.496, 1.377, 0.066, 32.601, 6.523, 31.083, 13.632, 24.29, 3.458, 3.75, 3.034, 1.929, 2.535]
75.64,[387.812, 425.447, 337.234, 337.258, 419.467, 406.631, 441.133, 434.605, 381.8, 384.494, 153.851, 43.554, 50.948, 105.018, 30.793, 116.249, 56.163, 100.225, 54.705, 115.818, 75.93, 37.267, 34.215, 84.921, 50.088, 46.89, 52.752, 41.263, 1.296, 1.888, 1.374, 1.332, 0.106, 30.195, 6.625, 31.014, 15.299, 21.834, 3.607, 3.632, 2.934, 2.394, 2.621]
75.68,[383.56, 424.877, 332.483, 390.666, 413.298, 408.781, 442.578, 432.895, 383.546, 385.097, 156.156, 43.559, 50.799, 108.015, 30.651, 124.288, 55.861, 105.391, 57.746, 107.251, 64.272, 37.496, 32.509, 80.968, 49.276, 43.525, 53.9, 42.572, 1.438, 2.356, 1.622, 1.121, 0.097, 31.435, 6.67, 29.967, 14.84, 21.88, 3.464, 2.778, 3.302, 1.996, 2.685]
75.69,[390.208, 413.485, 333.162, 353.635, 415.694, 408.109, 443.27, 427.924, 384.768, 383.35, 153.802, 43.821, 53.413, 108.796, 33.196, 124.282, 56.877, 94.402, 56.76, 111.17, 72.667, 37.991, 32.377, 85.785, 51.543, 44.51, 54.344, 41.231, 1.177, 2.183, 1.514, 1.445, 0.115, 31.0, 6.231, 30.158, 12.152, 20.016, 3.502, 3.799, 2.947, 2.3, 2.651]
75.72,[387.11, 427.427, 339.371, 319.917, 420.674, 405.007, 441.119, 436.654, 380.946, 383.898, 152.672, 43.403, 50.823, 102.541, 30.243, 113.788, 57.146, 100.063, 54.566, 117.128, 77.587, 37.853, 33.475, 85.526, 49.74, 47.5, 51.961, 40.738, 1.251, 1.782, 1.286, 1.423, 0.102, 29.7, 6.532, 31.167, 16.141, 22.05, 3.623, 3.615, 2.976, 2.475, 2.69]
75.74,[385.933, 425.481, 337.612, 360.409, 419.304, 405.764, 441.226, 431.48, 382.009, 384.473, 153.949, 43.335, 50.876, 102.49, 30.974, 116.992, 56.19, 107.117, 56.063, 116.876, 67.891, 37.725, 34.184, 83.519, 49.944, 46.911, 52.76, 41.29, 1.123, 1.899, 1.384, 1.336, 0.077, 31.638, 6.71, 31.275, 16.649, 21.631, 3.606, 3.653, 2.936, 2.369, 2.608]
