Generation 3806
53.27,[274.64, 126.53, 491.85, 105.92, 107.13, 178.22, 21.39, -4.65]
53.38,[260.38, 338.04, 531.72, 85.27, 78.4, 96.86, 8.79, 0.82]
53.40,[254.78, 204.72, 540.07, 103.26, 84.55, 133.84, 32.34, -2.29]
53.40,[200.34, 188.15, 482.21, 87.6, 84.44, 161.66, 22.97, -1.02]
53.42,[245.39, 269.01, 512.38, 53.7, 68.67, 111.98, 41.89, -0.61]
53.42,[244.62, 150.51, 518.98, 82.44, 93.82, 126.0, 43.09, -1.62]
53.43,[253.39, 210.72, 461.94, 75.13, 76.42, 120.57, 29.46, 0.12]
53.52,[265.39, 338.9, 531.12, 87.73, 79.53, 96.47, 9.24, 0.85]
53.53,[241.87, 207.71, 514.55, 89.42, 90.56, 125.74, 44.11, -2.87]
53.60,[229.5, 169.01, 493.83, 91.39, 101.06, 131.25, 39.8, -1.0]
53.69,[222.96, 81.1, 484.97, 119.79, 111.55, 175.39, 24.17, -4.6]
53.76,[239.08, 219.69, 520.95, 77.48, 92.78, 119.56, 20.14, 0.13]
53.76,[239.08, 219.69, 520.95, 77.48, 92.78, 119.56, 20.14, 0.13]
53.78,[228.89, 72.12, 480.49, 117.05, 109.06, 171.41, 23.46, -3.96]
53.91,[255.88, 279.09, 517.93, 44.66, 69.89, 112.69, 48.25, -0.58]
54.02,[235.41, 182.25, 488.06, 63.6, 84.89, 131.98, 37.89, -0.91]
54.04,[266.9, 343.01, 527.35, 86.73, 76.9, 98.83, 7.84, 0.73]
54.04,[266.9, 343.01, 527.35, 86.73, 76.9, 98.83, 7.84, 0.73]
54.12,[257.32, 216.55, 516.6, 110.81, 79.73, 120.78, 21.74, -1.51]
54.13,[227.21, 195.92, 494.06, 73.33, 79.16, 125.1, 38.42, -0.69]
54.13,[246.89, 163.63, 549.01, 78.27, 78.69, 148.04, 44.61, -0.49]
54.34,[254.74, 150.42, 530.46, 81.36, 92.74, 177.75, 31.04, -2.47]
54.35,[229.46, 255.76, 508.39, 54.01, 69.55, 132.16, 53.03, -0.76]
54.37,[222.21, 188.58, 529.02, 69.02, 77.63, 167.07, 30.66, -1.08]
54.40,[235.21, 178.92, 488.01, 62.66, 84.57, 133.25, 39.44, -0.92]
54.74,[276.17, 175.0, 521.54, 75.23, 79.49, 88.28, 39.65, -0.3]
54.83,[240.07, 228.14, 498.13, 79.54, 88.62, 115.84, 16.28, -0.68]
54.91,[221.12, 128.44, 487.41, 105.78, 101.33, 142.26, 22.32, -1.4]
54.91,[247.74, 203.57, 509.01, 65.17, 82.78, 128.17, 47.21, -0.94]
54.96,[267.97, 172.95, 501.54, 68.6, 115.47, 172.84, 33.36, -2.81]
54.99,[240.13, 185.46, 560.83, 98.75, 80.74, 141.32, 33.85, -2.7]
55.04,[267.42, 172.76, 501.13, 68.54, 115.74, 173.51, 33.28, -2.83]
55.04,[283.05, 159.1, 522.39, 66.16, 98.2, 131.95, 17.03, -0.46]
55.40,[266.41, 240.27, 540.28, 68.91, 80.13, 120.61, 58.78, -0.96]
55.61,[192.95, 114.79, 519.44, 98.96, 86.5, 168.84, 21.6, -2.08]
55.80,[289.73, 181.98, 532.75, 73.94, 80.99, 87.4, 35.94, -1.03]
56.00,[287.63, 178.8, 531.36, 74.01, 81.4, 88.02, 35.58, -0.87]
56.06,[192.15, 158.74, 537.09, 102.92, 89.56, 168.28, 30.69, -1.46]
56.29,[240.69, 203.65, 492.1, 102.33, 89.1, 111.46, 15.87, -0.82]
56.52,[253.88, 215.63, 519.28, 66.4, 81.91, 125.69, 51.01, -0.94]
56.67,[244.31, 381.31, 522.41, 76.08, 75.43, 113.03, 25.31, 0.29]
56.89,[245.92, 231.56, 512.9, 60.82, 73.66, 136.23, 45.79, -1.06]
57.13,[227.19, 128.75, 486.59, 64.47, 106.22, 117.6, 60.23, -1.56]
57.25,[235.52, 211.46, 501.13, 81.1, 95.02, 114.2, 19.47, -1.99]
57.28,[235.55, 104.85, 501.46, 63.89, 101.76, 118.73, 52.51, -1.04]
57.30,[222.19, 240.9, 529.76, 98.35, 102.73, 167.86, 19.51, -1.73]
57.31,[281.3, 115.38, 529.54, 66.98, 90.08, 167.15, 30.59, -2.19]
57.34,[259.45, 182.87, 495.84, 75.19, 104.62, 110.84, 48.87, -0.88]
57.35,[245.6, 339.81, 502.93, 73.61, 77.94, 83.11, 30.66, -0.25]
57.40,[260.2, 202.93, 495.64, 48.79, 75.92, 146.19, 39.49, -0.7]
