Record started: 2021-08-04 20:16:00.335245 (Original fitness from cfg file: 144.5798283399431)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/otf_clap/otf.inp']
['MDOUT', '/dev/shm/otf_clap_opt.log']
['QMOUT', 'Molecules/otf_clap/otf.log']
['PARAM_FILENAME', 'FF_GenOpt_results/otf_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/otf_clap/lastPopulation_otf_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/otf_clap/convergence_otf_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'otfb1', 'bond', '0', '1000', '441.6']
['PARAMETER', 'otfb2', 'bond', '0', '1000', '232.9']
['PARAMETER', 'otfb3', 'bond', '0', '1000', '636.6']
['PARAMETER', 'otfa1', 'angle', '0', '200', '103.90']
['PARAMETER', 'otfa2', 'angle', '0', '200', '115.72']
['PARAMETER', 'otfa3', 'angle', '0', '200', '93.27']
['PARAMETER', 'otfa4', 'angle', '0', '200', '82.88']
['PARAMETER', 'otfd1', 'dihedral', '-20', '20', '0.173']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
63	38.99	39.97	11361	7286	4075	3356.91	0.30	0.02	0.00	31.78
64	38.99	39.93	11572	7394	4178	3420.34	0.30	0.00	0.00	53.63
65	38.99	39.90	11786	7507	4279	3482.63	0.30	0.00	0.00	26.05
66	38.99	39.87	12003	7623	4380	3547.18	0.30	0.00	0.00	24.13
67	38.99	39.84	12220	7739	4481	3611.94	0.30	0.00	0.00	6.56
68	38.99	39.82	12429	7848	4581	3674.13	0.30	0.00	0.00	12.26
69	38.99	39.79	12640	7957	4683	3736.58	0.30	0.00	0.00	56.48
70	38.99	39.76	12854	8069	4785	3799.92	0.30	0.00	0.00	9.55
71	38.99	39.74	13073	8186	4887	3865.33	0.30	0.00	0.00	9.72
72	38.99	39.71	13285	8297	4988	3927.24	0.30	0.00	0.00	16.17
73	38.99	39.68	13502	8412	5090	3991.64	0.30	0.00	0.00	40.02
74	38.63	39.64	13618	8527	5091	4026.50	0.30	0.36	0.00	10.52
75	38.63	39.61	13833	8640	5193	4088.05	0.30	0.00	0.00	35.71
76	38.63	39.56	14050	8756	5294	4150.07	0.30	0.00	0.00	9.56
77	38.63	39.53	14265	8869	5396	4214.28	0.30	0.00	0.00	9.77
78	38.63	39.51	14481	8978	5503	4277.54	0.30	0.00	0.00	14.83
79	38.63	39.47	14697	9090	5607	4336.98	0.30	0.00	0.00	25.89
80	38.63	39.43	14909	9201	5708	4398.86	0.30	0.00	0.00	16.29
81	38.63	39.41	15124	9313	5811	4461.47	0.29	0.00	0.00	20.99
82	38.63	39.39	15347	9426	5921	4527.65	0.30	0.00	0.00	14.56
83	38.63	39.35	15560	9538	6022	4590.67	0.30	0.00	0.00	9.77
84	38.63	39.33	15772	9649	6123	4653.55	0.30	0.00	0.00	16.65
85	38.42	39.28	15884	9760	6124	4687.11	0.30	0.21	0.00	11.00
86	38.42	39.26	16100	9871	6229	4750.00	0.30	0.00	0.00	16.57
87	38.42	39.23	16315	9985	6330	4811.92	0.29	0.00	0.00	7.90
88	38.41	39.21	16430	10099	6331	4843.30	0.29	0.01	0.00	5.70
89	38.41	39.20	16642	10210	6432	4903.32	0.29	0.00	0.00	23.18
90	38.41	39.17	16854	10321	6533	4965.40	0.29	0.00	0.00	7.31
91	38.41	39.16	17073	10434	6639	5029.74	0.29	0.00	0.00	7.45
92	38.41	39.14	17288	10549	6739	5093.63	0.29	0.00	0.00	39.74
93	38.41	39.13	17500	10660	6840	5157.15	0.29	0.00	0.00	26.11
94	38.41	39.12	17713	10772	6941	5219.73	0.29	0.00	0.00	32.40
95	38.41	39.10	17928	10886	7042	5283.02	0.29	0.00	0.00	2.76
96	38.41	39.09	18148	11003	7145	5348.22	0.29	0.00	0.00	13.19
97	38.24	39.07	18269	11123	7146	5383.65	0.29	0.17	0.00	13.03
98	38.24	39.06	18484	11235	7249	5446.17	0.29	0.00	0.00	11.97
99	38.24	39.04	18699	11348	7351	5510.08	0.29	0.00	0.00	12.64
100	38.24	39.02	18912	11460	7452	5573.78	0.29	0.00	0.00	11.98
101	38.24	39.02	19118	11565	7553	5636.27	0.29	0.00	0.00	18.42
102	38.24	39.00	19335	11681	7654	5700.29	0.29	0.00	0.00	1.23
