Record started: 2021-08-04 20:16:15.840846 (Original fitness from cfg file: 165.85310592240035)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/im21_clap/im21.inp']
['MDOUT', '/dev/shm/im21_clap_opt.log']
['QMOUT', 'Molecules/im21_clap/im21_freq.log']
['PARAM_FILENAME', 'FF_GenOpt_results/im21_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/im21_clap/lastPopulation_im21_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/im21_clap/convergence_im21_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'im21b1', 'bond', '0', '1000', '340.0']
['PARAMETER', 'im21b2', 'bond', '0', '1000', '340.0']
['PARAMETER', 'im21b3', 'bond', '0', '1000', '267.8']
['PARAMETER', 'im21b4', 'bond', '0', '1000', '367.0']
['PARAMETER', 'im21b5', 'bond', '0', '1000', '367.0']
['PARAMETER', 'im21b6', 'bond', '0', '1000', '519.7']
['PARAMETER', 'im21b7', 'bond', '0', '1000', '336.8']
['PARAMETER', 'im21b8', 'bond', '0', '1000', '476.7']
['PARAMETER', 'im21b9', 'bond', '0', '1000', '426.7']
['PARAMETER', 'im21a1', 'angle', '0', '100', '33.00']
['PARAMETER', 'im21a2', 'angle', '0', '100', '33.00']
['PARAMETER', 'im21a3', 'angle', '0', '100', '37.47']
['PARAMETER', 'im21a4', 'angle', '0', '100', '37.47']
['PARAMETER', 'im21a5', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a6', 'angle', '0', '100', '34.98']
['PARAMETER', 'im21a7', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a8', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a9', 'angle', '0', '100', '37.47']
['PARAMETER', 'im21a10', 'angle', '0', '100', '34.98']
['PARAMETER', 'im21a11', 'angle', '0', '100', '34.98']
['PARAMETER', 'im21a12', 'angle', '0', '100', '58.31']
['PARAMETER', 'im21a13', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a14', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21d1', 'dihedral', '-30', '30', '5.97']
['PARAMETER', 'im21d2', 'dihedral', '-30', '30', '0.16']
['PARAMETER', 'im21d3', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d4', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d5', 'dihedral', '-30', '30', '0.00']
['PARAMETER', 'im21d6', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d7', 'dihedral', '-30', '30', '-0.63']
['PARAMETER', 'im21d8', 'dihedral', '-30', '30', '0.06']
['PARAMETER', 'im21d9', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d10', 'dihedral', '-30', '30', '-0.85']
['PARAMETER', 'im21d11', 'dihedral', '-30', '30', '5.97']
['PARAMETER', 'im21d12', 'dihedral', '-30', '30', '5.97']
['PARAMETER', 'im21d13', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d14', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d15', 'dihedral', '-30', '30', '0.00']
['PARAMETER', 'im21d16', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d17', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d18', 'dihedral', '-30', '30', '0.73']
['PARAMETER', 'im21d19', 'dihedral', '-30', '30', '0.095']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
49	63.84	187.17	9226	5702	3524	3032.46	0.33	0.00	0.00	28.62
50	63.84	184.34	9445	5815	3630	3105.07	0.33	0.00	0.00	24.03
51	63.84	181.06	9661	5924	3737	3174.98	0.33	0.00	0.00	259.68
52	63.84	178.22	9875	6035	3840	3245.27	0.33	0.00	0.00	535.88
53	63.84	175.87	10086	6144	3942	3313.82	0.33	0.00	0.00	71.66
54	63.84	173.49	10300	6257	4043	3383.66	0.33	0.00	0.00	4513.24
55	63.84	171.10	10516	6368	4148	3454.55	0.33	0.00	0.00	45.30
56	63.84	168.47	10729	6479	4250	3524.42	0.33	0.00	0.00	244.28
57	63.84	166.63	10951	6596	4355	3598.03	0.33	0.00	0.00	3299.39
58	63.84	165.13	11168	6709	4459	3669.62	0.33	0.00	0.00	39.27
59	63.84	163.67	11381	6819	4562	3740.04	0.33	0.00	0.00	74.26
60	63.84	162.09	11599	6932	4667	3811.32	0.33	0.00	0.00	2084.75
61	63.84	160.69	11809	7040	4769	3881.00	0.33	0.00	0.00	4334.32
62	63.84	159.49	12022	7151	4871	3951.77	0.33	0.00	0.00	474.82
63	63.84	158.37	12233	7259	4974	4020.70	0.33	0.00	0.00	9.54
64	63.84	156.35	12451	7371	5080	4089.36	0.33	0.00	0.00	40.55
65	63.84	155.34	12664	7482	5182	4157.30	0.33	0.00	0.00	2019.16
66	63.84	154.33	12877	7594	5283	4227.39	0.33	0.00	0.00	2327.44
67	63.84	153.54	13096	7711	5385	4297.31	0.33	0.00	0.00	335.80
68	63.84	151.69	13313	7825	5488	4364.72	0.33	0.00	0.00	14.28
69	63.84	149.98	13525	7935	5590	4433.49	0.33	0.00	0.00	11.26
70	63.84	147.60	13750	8052	5698	4507.11	0.33	0.00	0.00	13.06
71	63.84	145.52	13965	8164	5801	4577.56	0.33	0.00	0.00	51.73
72	63.84	142.94	14181	8276	5905	4648.64	0.33	0.00	0.00	43.17
73	63.84	140.14	14404	8392	6012	4722.44	0.33	0.00	0.00	3.78
74	63.84	137.91	14620	8505	6115	4792.88	0.33	0.00	0.00	74.70
75	63.84	135.96	14835	8617	6218	4857.62	0.33	0.00	0.00	22.33
76	63.84	133.98	15049	8728	6321	4926.86	0.33	0.00	0.00	2480.51
77	63.84	132.19	15263	8837	6426	4997.37	0.33	0.00	0.00	27.18
78	63.84	130.01	15483	8954	6529	5068.58	0.33	0.00	0.00	571.91
79	63.84	127.80	15696	9061	6635	5138.10	0.33	0.00	0.00	108.00
80	63.84	126.19	15912	9170	6742	5208.75	0.33	0.00	0.00	955.56
81	63.84	123.62	16129	9283	6846	5279.84	0.33	0.00	0.00	110.08
82	63.84	121.62	16345	9395	6950	5350.73	0.33	0.00	0.00	30.74
83	63.84	120.23	16561	9505	7056	5421.48	0.33	0.00	0.00	754.06
84	63.84	118.60	16782	9622	7160	5493.55	0.33	0.00	0.00	14.38
85	63.84	117.52	16995	9732	7263	5563.07	0.33	0.00	0.00	1.95
86	63.84	116.62	17211	9844	7367	5634.02	0.33	0.00	0.00	109.17
87	63.84	115.68	17426	9957	7469	5703.26	0.33	0.00	0.00	3.63
88	63.84	114.93	17638	10067	7571	5772.16	0.33	0.00	0.00	349.23
89	63.84	114.37	17850	10176	7674	5842.36	0.33	0.00	0.00	42.28
90	63.84	113.86	18062	10286	7776	5911.55	0.33	0.00	0.00	35.24
91	63.84	113.17	18274	10396	7878	5981.55	0.33	0.00	0.00	61.04
92	63.84	112.50	18495	10516	7979	6053.60	0.33	0.00	0.00	65.35
93	63.84	111.58	18715	10634	8081	6127.20	0.33	0.00	0.00	6.41
94	63.84	110.89	18931	10747	8184	6198.71	0.33	0.00	0.00	41.44
95	63.84	110.38	19143	10857	8286	6269.02	0.33	0.00	0.00	82.69
96	63.84	109.99	19354	10966	8388	6338.07	0.33	0.00	0.00	7.00
97	63.84	109.58	19570	11079	8491	6409.43	0.33	0.00	0.00	1.63
98	63.84	108.95	19780	11189	8591	6478.58	0.33	0.00	0.00	52.88
99	63.84	108.52	19997	11303	8694	6550.15	0.33	0.00	0.00	3.25
100	63.84	107.89	20209	11413	8796	6619.68	0.33	0.00	0.00	157.57
101	63.84	107.44	20433	11534	8899	6693.80	0.33	0.00	0.00	213.98
102	63.84	106.75	20648	11647	9001	6764.90	0.33	0.00	0.00	16.42
103	63.84	106.40	20856	11753	9103	6833.45	0.33	0.00	0.00	6.42
104	63.84	105.86	21070	11864	9206	6903.39	0.33	0.00	0.00	1.92
105	63.84	105.35	21282	11975	9307	6972.98	0.33	0.00	0.00	33.16
106	63.84	104.82	21494	12084	9410	7042.28	0.33	0.00	0.00	195.80
107	63.84	104.25	21705	12193	9512	7111.56	0.33	0.00	0.00	6.59
108	63.84	103.70	21915	12302	9613	7180.98	0.33	0.00	0.00	34.25
109	63.84	103.07	22128	12414	9714	7251.46	0.33	0.00	0.00	165.91
110	63.84	102.62	22340	12525	9815	7321.38	0.33	0.00	0.00	1475.59
111	63.84	102.12	22556	12638	9918	7392.87	0.33	0.00	0.00	31.25
112	63.84	101.57	22778	12754	10024	7466.18	0.33	0.00	0.00	10.68
113	63.84	101.19	22988	12863	10125	7535.65	0.33	0.00	0.00	354.45
114	63.84	100.64	23209	12979	10230	7608.01	0.33	0.00	0.00	127.10
115	63.84	100.23	23423	13092	10331	7679.21	0.33	0.00	0.00	127.61
116	63.84	99.87	23635	13203	10432	7749.33	0.33	0.00	0.00	15.07
117	63.84	99.36	23848	13314	10534	7819.36	0.33	0.00	0.00	93.43
118	63.84	98.88	24062	13425	10637	7889.22	0.33	0.00	0.00	12.09
119	63.84	98.38	24279	13539	10740	7960.75	0.33	0.00	0.00	110.82
120	63.84	97.95	24500	13657	10843	8032.85	0.33	0.00	0.00	5.45
121	63.84	97.63	24709	13765	10944	8102.22	0.33	0.00	0.00	150.77
122	63.84	97.41	24923	13877	11046	8172.57	0.33	0.00	0.00	1.91
123	63.84	97.11	25133	13986	11147	8242.69	0.33	0.00	0.00	2.75
124	63.84	96.82	25346	14098	11248	8313.58	0.33	0.00	0.00	358.73
125	63.84	96.53	25560	14211	11349	8384.54	0.33	0.00	0.00	34.57
126	63.84	96.35	25772	14321	11451	8454.22	0.33	0.00	0.00	13.12
127	63.84	96.14	25979	14427	11552	8522.70	0.33	0.00	0.00	2.90
128	63.84	95.98	26193	14539	11654	8592.80	0.33	0.00	0.00	11.33
129	63.84	95.75	26402	14646	11756	8662.70	0.33	0.00	0.00	146.67
130	63.84	95.48	26616	14759	11857	8733.35	0.33	0.00	0.00	3.37
131	63.84	95.33	26829	14869	11960	8802.86	0.33	0.00	0.00	19.88
132	63.84	95.15	27039	14978	12061	8871.30	0.33	0.00	0.00	3.96
133	63.84	94.96	27251	15084	12167	8941.08	0.33	0.00	0.00	7.16
134	63.84	94.77	27465	15197	12268	9010.69	0.33	0.00	0.00	150.97
135	63.84	94.59	27679	15310	12369	9080.88	0.33	0.00	0.00	160.13
136	63.84	94.37	27889	15419	12470	9149.14	0.33	0.00	0.00	2.96
137	63.84	94.20	28104	15531	12573	9219.05	0.33	0.00	0.00	206.70
138	63.84	93.89	28319	15643	12676	9289.33	0.33	0.00	0.00	14.74
139	63.84	93.71	28528	15751	12777	9356.60	0.33	0.00	0.00	14.85
140	63.84	93.52	28739	15861	12878	9426.11	0.33	0.00	0.00	80.06
141	63.84	93.27	28949	15970	12979	9495.17	0.33	0.00	0.00	10.56
142	63.84	93.06	29159	16077	13082	9563.27	0.33	0.00	0.00	29.97
143	63.84	92.78	29373	16189	13184	9633.00	0.33	0.00	0.00	278.75
144	63.84	92.44	29593	16306	13287	9704.76	0.33	0.00	0.00	28.44
145	63.84	92.12	29805	16417	13388	9773.90	0.33	0.00	0.00	12.79
146	63.84	91.92	30014	16525	13489	9842.50	0.33	0.00	0.00	4.28
147	63.84	91.63	30226	16635	13591	9911.48	0.33	0.00	0.00	82.61
148	63.84	91.26	30445	16752	13693	9982.28	0.33	0.00	0.00	5.71
149	63.84	90.92	30663	16869	13794	10053.84	0.33	0.00	0.00	6.54
150	63.84	90.58	30878	16982	13896	10123.52	0.33	0.00	0.00	2.46
151	63.84	90.27	31095	17098	13997	10194.01	0.33	0.00	0.00	143.70
152	63.84	90.01	31312	17213	14099	10264.05	0.33	0.00	0.00	7.33
153	63.84	89.73	31525	17325	14200	10333.05	0.33	0.00	0.00	3864.13
154	63.84	89.52	31741	17441	14300	10404.06	0.33	0.00	0.00	12.35
155	63.84	89.35	31951	17550	14401	10472.78	0.33	0.00	0.00	451.27
156	63.84	89.16	32168	17665	14503	10543.69	0.33	0.00	0.00	311.95
157	63.84	88.99	32376	17771	14605	10612.62	0.33	0.00	0.00	16.94
158	63.84	88.82	32586	17879	14707	10680.93	0.33	0.00	0.00	675.32
159	63.84	88.58	32802	17993	14809	10751.46	0.33	0.00	0.00	248.44
160	63.84	88.43	33013	18103	14910	10820.14	0.33	0.00	0.00	1.14
161	63.84	88.28	33228	18216	15012	10890.80	0.33	0.00	0.00	31.21
162	63.84	88.05	33441	18328	15113	10960.99	0.33	0.00	0.00	57.53
163	63.84	87.80	33662	18446	15216	11033.46	0.33	0.00	0.00	11.99
164	63.84	87.49	33875	18558	15317	11103.26	0.33	0.00	0.00	207.42
165	63.84	87.23	34096	18678	15418	11175.84	0.33	0.00	0.00	32.72
166	63.84	87.03	34310	18790	15520	11245.19	0.33	0.00	0.00	3970.64
167	63.84	86.70	34525	18903	15622	11315.63	0.33	0.00	0.00	12.84
168	63.84	86.44	34737	19014	15723	11385.40	0.33	0.00	0.00	148.43
169	63.84	86.19	34954	19130	15824	11456.61	0.33	0.00	0.00	28.61
170	63.84	85.95	35168	19243	15925	11526.24	0.33	0.00	0.00	137.76
171	63.84	85.69	35387	19360	16027	11598.47	0.33	0.00	0.00	18.00
172	63.84	85.42	35600	19471	16129	11667.99	0.33	0.00	0.00	13.61
173	63.84	85.04	35819	19589	16230	11739.12	0.33	0.00	0.00	42.82
174	63.84	84.69	36041	19709	16332	11811.53	0.33	0.00	0.00	2.60
175	63.84	84.33	36260	19827	16433	11882.98	0.33	0.00	0.00	7.82
176	63.84	83.88	36475	19940	16535	11952.55	0.33	0.00	0.00	474.78
177	63.84	83.59	36690	20054	16636	12023.09	0.33	0.00	0.00	65.03
178	63.84	83.28	36905	20167	16738	12093.12	0.33	0.00	0.00	87.54
179	63.84	83.02	37116	20275	16841	12163.14	0.33	0.00	0.00	14.76
180	63.84	82.77	37331	20388	16943	12233.45	0.33	0.00	0.00	5.65
181	63.84	82.45	37541	20497	17044	12302.58	0.33	0.00	0.00	908.58
182	63.84	82.22	37752	20606	17146	12371.86	0.33	0.00	0.00	33.25
183	63.84	81.83	37966	20719	17247	12441.70	0.33	0.00	0.00	6026.05
184	63.84	81.53	38176	20828	17348	12510.18	0.33	0.00	0.00	2776.50
185	63.84	81.26	38391	20941	17450	12580.76	0.33	0.00	0.00	14.62
186	63.84	80.97	38604	21051	17553	12650.65	0.33	0.00	0.00	9.11
187	63.84	80.69	38821	21166	17655	12722.45	0.33	0.00	0.00	2.60
188	63.84	80.45	39032	21275	17757	12792.05	0.33	0.00	0.00	2.52
189	63.84	80.20	39243	21385	17858	12861.54	0.33	0.00	0.00	55.37
190	63.84	79.96	39455	21496	17959	12930.80	0.33	0.00	0.00	214.22
191	63.84	79.67	39666	21606	18060	13000.85	0.33	0.00	0.00	11.36
192	63.84	79.36	39888	21727	18161	13074.10	0.33	0.00	0.00	51.33
193	63.84	79.07	40104	21840	18264	13145.74	0.33	0.00	0.00	0.71
194	63.84	78.75	40320	21955	18365	13216.55	0.33	0.00	0.00	37.39
195	63.84	78.51	40535	22069	18466	13287.28	0.33	0.00	0.00	10.43
196	63.84	78.17	40743	22176	18567	13355.03	0.33	0.00	0.00	6.53
197	63.84	77.94	40955	22287	18668	13423.55	0.33	0.00	0.00	121.29
198	63.84	77.75	41166	22397	18769	13491.70	0.33	0.00	0.00	160.99
199	63.84	77.52	41376	22506	18870	13560.49	0.33	0.00	0.00	8.35
200	63.84	77.26	41586	22615	18971	13628.62	0.33	0.00	0.00	121.36
201	63.84	76.92	41803	22731	19072	13698.64	0.33	0.00	0.00	39.86
202	63.84	76.70	42020	22846	19174	13768.60	0.33	0.00	0.00	1.78
203	63.84	76.41	42234	22956	19278	13838.15	0.33	0.00	0.00	10.00
204	63.84	76.16	42448	23068	19380	13906.99	0.33	0.00	0.00	183.29
205	63.84	75.88	42665	23184	19481	13977.45	0.33	0.00	0.00	42.62
206	63.84	75.67	42879	23296	19583	14047.29	0.33	0.00	0.00	32.97
207	63.84	75.33	43096	23412	19684	14117.39	0.33	0.00	0.00	2797.22
208	63.84	75.01	43317	23530	19787	14189.03	0.33	0.00	0.00	108.84
209	63.84	74.71	43528	23640	19888	14256.69	0.33	0.00	0.00	11.08
210	63.84	74.43	43740	23751	19989	14325.38	0.33	0.00	0.00	28.40
211	63.84	74.02	43955	23864	20091	14395.45	0.33	0.00	0.00	12.07
212	63.84	73.73	44168	23973	20195	14464.94	0.33	0.00	0.00	13.41
213	63.84	73.42	44384	24088	20296	14534.94	0.33	0.00	0.00	0.65
214	63.84	73.07	44600	24201	20399	14605.83	0.33	0.00	0.00	38.50
215	63.84	72.64	44816	24316	20500	14676.45	0.33	0.00	0.00	15.30
216	63.84	72.27	45026	24425	20601	14744.10	0.33	0.00	0.00	7.37
217	63.84	71.99	45241	24539	20702	14813.35	0.33	0.00	0.00	9.72
218	63.84	71.69	45454	24651	20803	14882.68	0.33	0.00	0.00	199.96
219	63.84	71.50	45671	24766	20905	14953.21	0.33	0.00	0.00	78.95
220	63.84	71.28	45886	24879	21007	15023.61	0.33	0.00	0.00	3.25
221	63.84	70.97	46101	24993	21108	15093.39	0.33	0.00	0.00	128.23
222	63.84	70.74	46314	25105	21209	15162.05	0.33	0.00	0.00	14.48
223	63.84	70.58	46525	25215	21310	15230.24	0.33	0.00	0.00	84.72
224	63.84	70.40	46746	25334	21412	15302.51	0.33	0.00	0.00	39.09
