Generation 114
49.17,[343.369, 380.241, 352.07, 313.379, 354.213, 412.356, 345.239, 378.529, 373.298, 35.443, 18.23, 66.162, 133.902, 36.031, 19.56, 44.734, 44.316, 28.551, 140.876, 43.998, 32.898, 128.299, 184.668, 0.005, 0.579, 0.017, 2.674, 0.485, 0.004, 3.999, 5.46, 30.005, 0.039, 0.015, 9.726, 0.066, 2.625, 15.549, 22.443, 2.195, 10.335, 0.149, 0.014, 0.003, 119.657]
49.17,[343.502, 376.852, 350.296, 314.938, 357.989, 411.25, 343.917, 378.163, 373.262, 35.367, 18.268, 66.557, 134.05, 36.161, 19.538, 44.599, 44.306, 28.536, 140.967, 43.73, 32.96, 128.398, 184.566, 0.013, 0.59, 0.012, 2.71, 0.486, 0.007, 3.988, 5.517, 30.0, 0.03, 0.022, 9.756, 0.058, 2.673, 15.536, 22.396, 2.213, 10.322, 0.019, 0.082, 0.046, 119.817]
49.17,[343.699, 377.188, 350.228, 315.194, 358.146, 411.092, 344.057, 378.265, 373.455, 35.381, 18.254, 66.564, 134.085, 36.125, 19.572, 44.627, 44.358, 28.497, 140.976, 43.678, 32.965, 128.356, 184.556, 0.008, 0.587, 0.022, 2.718, 0.485, 0.008, 3.986, 5.515, 29.992, 0.028, 0.021, 9.759, 0.054, 2.674, 15.542, 22.396, 2.211, 10.328, 0.029, 0.073, 0.062, 119.847]
49.17,[343.383, 378.044, 350.763, 314.379, 357.801, 411.673, 344.394, 378.301, 373.341, 35.388, 18.256, 66.428, 133.889, 36.144, 19.545, 44.629, 44.219, 28.537, 140.84, 43.831, 32.971, 128.426, 183.92, 0.01, 0.585, 0.014, 2.69, 0.485, 0.012, 3.982, 5.522, 29.995, 0.026, 0.02, 9.744, 0.068, 2.651, 15.541, 22.381, 2.204, 10.327, 0.065, 0.059, 0.03, 119.772]
49.17,[343.093, 378.986, 351.834, 313.034, 355.789, 411.646, 345.318, 378.5, 373.483, 35.453, 18.23, 66.317, 133.951, 36.147, 19.326, 44.85, 44.171, 28.6, 140.805, 44.056, 32.955, 128.074, 184.633, 0.004, 0.577, 0.015, 2.662, 0.484, 0.006, 4.007, 5.481, 30.003, 0.035, 0.011, 9.724, 0.066, 2.623, 15.544, 22.436, 2.203, 10.335, 0.131, 0.032, 0.017, 119.698]
49.17,[343.374, 380.407, 352.098, 313.392, 353.879, 412.34, 345.529, 378.524, 373.313, 35.443, 18.231, 66.123, 133.903, 36.027, 19.552, 44.728, 44.335, 28.54, 140.888, 43.997, 32.897, 128.298, 184.652, 0.005, 0.579, 0.017, 2.673, 0.485, 0.004, 3.999, 5.459, 30.005, 0.041, 0.015, 9.726, 0.066, 2.625, 15.55, 22.444, 2.191, 10.335, 0.161, 0.014, 0.003, 119.648]
49.17,[342.942, 380.456, 352.174, 313.369, 358.448, 412.218, 342.333, 378.559, 373.321, 35.467, 18.238, 66.58, 133.849, 36.161, 19.428, 44.518, 44.019, 28.349, 140.885, 43.846, 32.977, 128.271, 182.84, 0.0, 0.579, 0.002, 2.708, 0.485, 0.01, 4.002, 5.496, 29.996, 0.026, 0.009, 9.668, 0.033, 2.647, 15.559, 22.421, 2.199, 10.356, 0.066, 0.002, 0.064, 119.768]
49.17,[343.306, 378.816, 351.064, 314.017, 357.679, 411.947, 344.703, 378.389, 373.392, 35.401, 18.248, 66.344, 133.784, 36.133, 19.549, 44.649, 44.163, 28.538, 140.757, 43.897, 32.978, 128.444, 183.501, 0.008, 0.583, 0.015, 2.677, 0.484, 0.015, 3.977, 5.525, 29.992, 0.024, 0.019, 9.737, 0.075, 2.637, 15.543, 22.371, 2.199, 10.33, 0.095, 0.044, 0.019, 119.743]
49.18,[343.021, 379.992, 351.542, 313.017, 360.296, 411.294, 343.168, 378.661, 373.719, 35.445, 18.246, 66.494, 133.827, 36.278, 19.247, 44.636, 44.035, 28.568, 140.75, 43.889, 33.183, 128.235, 183.33, 0.001, 0.573, 0.006, 2.657, 0.483, 0.008, 3.997, 5.5, 30.003, 0.043, 0.005, 9.699, 0.024, 2.588, 15.548, 22.381, 2.208, 10.333, 0.063, 0.11, 0.03, 119.783]
49.18,[342.998, 376.836, 350.307, 313.703, 358.921, 412.163, 344.056, 378.279, 374.237, 35.415, 18.338, 66.614, 133.956, 36.195, 19.184, 44.757, 44.15, 28.655, 140.786, 44.025, 32.889, 127.973, 184.612, 0.001, 0.586, 0.01, 2.665, 0.485, 0.0, 3.993, 5.494, 29.995, 0.049, 0.007, 9.683, 0.066, 2.641, 15.544, 22.444, 2.258, 10.34, 0.087, 0.0, 0.01, 119.817]
