Generation 3684
49.12,[329.36, 550.02, 174.59, 33.19, 101.59, 49.39, 32.6, 2.78]
49.12,[329.36, 550.04, 174.61, 33.19, 101.55, 49.39, 32.6, 2.79]
49.12,[329.36, 550.01, 174.61, 33.19, 101.55, 49.4, 32.6, 2.79]
49.12,[329.23, 548.4, 177.11, 33.2, 100.4, 49.52, 32.38, 2.78]
49.13,[329.64, 545.94, 173.78, 33.11, 102.75, 49.06, 32.57, 2.79]
49.13,[329.53, 547.83, 176.07, 33.17, 100.53, 49.03, 32.59, 2.79]
49.13,[329.65, 545.88, 173.78, 33.11, 102.74, 49.06, 32.57, 2.79]
49.13,[329.28, 550.79, 175.28, 33.19, 100.39, 49.42, 32.65, 2.79]
49.13,[329.7, 546.0, 176.21, 33.24, 102.11, 49.24, 32.53, 2.79]
49.13,[329.6, 546.46, 174.52, 33.12, 101.23, 49.42, 32.54, 2.78]
49.13,[329.46, 549.11, 173.77, 33.19, 102.99, 49.36, 32.55, 2.78]
49.13,[329.27, 550.87, 175.35, 33.19, 100.27, 49.42, 32.65, 2.79]
49.13,[328.92, 548.35, 175.43, 33.22, 101.27, 49.23, 32.71, 2.79]
49.13,[329.67, 546.08, 174.19, 33.08, 102.53, 49.02, 32.37, 2.78]
49.13,[329.51, 547.66, 175.29, 33.11, 101.46, 49.49, 32.37, 2.78]
49.13,[329.2, 548.72, 177.23, 33.2, 100.25, 49.57, 32.39, 2.78]
49.13,[329.55, 547.56, 176.56, 33.17, 100.01, 48.96, 32.6, 2.79]
49.13,[329.5, 547.63, 175.42, 33.11, 101.33, 49.85, 32.37, 2.78]
49.13,[329.44, 549.39, 173.29, 33.19, 103.51, 49.43, 32.54, 2.78]
49.13,[329.56, 546.91, 175.16, 33.16, 101.19, 49.26, 32.53, 2.79]
49.13,[329.6, 546.46, 174.55, 33.12, 101.14, 49.45, 32.53, 2.78]
49.13,[329.18, 548.6, 177.41, 33.21, 100.22, 49.59, 32.36, 2.78]
49.13,[329.33, 549.59, 174.83, 33.19, 101.28, 49.44, 32.56, 2.78]
49.14,[329.22, 546.62, 174.38, 33.12, 102.03, 49.46, 32.52, 2.79]
49.14,[329.22, 546.53, 174.42, 33.12, 102.0, 49.46, 32.53, 2.79]
49.14,[328.85, 548.29, 174.94, 33.23, 101.54, 49.13, 32.8, 2.8]
49.14,[329.14, 549.34, 178.85, 33.22, 99.96, 49.65, 32.2, 2.77]
49.14,[329.4, 548.67, 175.52, 33.2, 101.42, 49.69, 32.4, 2.77]
49.14,[329.47, 548.49, 174.16, 33.18, 102.4, 49.61, 32.53, 2.78]
49.14,[329.24, 551.28, 175.41, 33.2, 100.11, 49.47, 32.66, 2.79]
49.14,[329.34, 544.64, 175.19, 33.13, 101.44, 49.44, 32.73, 2.8]
49.14,[329.64, 547.7, 174.96, 33.1, 99.71, 49.87, 32.53, 2.78]
