Generation 100
44.15,[324.612, 350.328, 670.737, 99.398, 139.006, 21.848, 115.577, 0.132]
44.15,[321.882, 349.465, 668.22, 97.746, 140.689, 21.796, 115.663, 0.145]
44.15,[322.948, 350.446, 669.573, 98.519, 139.37, 22.426, 115.563, 0.129]
44.15,[321.814, 352.619, 667.983, 98.525, 140.49, 20.832, 115.594, 0.169]
44.16,[323.203, 349.7, 670.02, 98.86, 138.991, 22.696, 115.477, 0.136]
44.16,[324.188, 350.062, 671.69, 99.875, 138.639, 22.966, 115.488, 0.128]
44.16,[321.016, 355.867, 664.774, 96.817, 140.53, 20.451, 115.79, 0.12]
44.16,[322.352, 352.191, 668.529, 97.723, 140.254, 21.793, 115.763, 0.115]
44.16,[321.969, 349.611, 667.759, 97.075, 141.147, 21.227, 115.89, 0.138]
44.17,[321.375, 346.866, 665.525, 97.338, 140.393, 20.949, 115.609, 0.11]
44.17,[323.183, 351.382, 668.556, 97.607, 140.026, 21.881, 115.656, 0.127]
44.17,[322.166, 350.803, 665.396, 97.1, 139.72, 20.717, 115.536, 0.143]
44.17,[321.023, 353.199, 667.136, 97.273, 141.159, 22.225, 115.545, 0.125]
44.17,[321.899, 350.87, 669.1, 97.861, 141.203, 22.309, 115.645, 0.149]
44.17,[321.899, 350.87, 669.1, 97.861, 141.203, 22.309, 115.645, 0.149]
44.17,[320.911, 355.02, 665.119, 96.838, 140.741, 20.514, 115.802, 0.119]
44.17,[322.069, 349.565, 667.899, 97.107, 141.078, 21.256, 115.876, 0.138]
44.17,[323.178, 352.368, 668.361, 97.413, 140.149, 21.76, 115.684, 0.129]
44.17,[322.098, 352.937, 668.083, 97.382, 140.633, 21.522, 115.848, 0.109]
44.17,[321.121, 349.496, 667.493, 96.884, 142.765, 22.392, 115.903, 0.08]
44.18,[321.595, 355.867, 665.702, 96.817, 140.845, 20.451, 115.85, 0.12]
44.18,[321.988, 351.214, 666.443, 96.829, 139.72, 21.96, 115.509, 0.137]
44.18,[323.083, 343.491, 669.942, 99.097, 139.062, 22.821, 115.433, 0.115]
44.18,[321.635, 350.952, 666.519, 96.88, 139.721, 22.043, 115.503, 0.144]
44.18,[322.375, 349.02, 668.019, 98.505, 139.129, 20.963, 115.525, 0.144]
